artist and title,wks,t10,pk,x?,PkStreams,total,artist name,song name,lyrics
Billie Eilish - lovely,400,,24,,14081242,3514154790,Billie Eilish,lovely,"Thought I found a way Thought I found a way out (found) But you never go away (never go away) So I guess I gotta stay now Oh, I hope some day I'll make it out of here Even if it takes all night or a hundred years Need a place to hide, but I can't find one near Wanna feel alive, outside I can't fight my fear Isn't it lovely? All alone Heart made of glass, my mind of stone Tear me to pieces, skin to bone Hello, welcome home Walking out of town Looking for a better place (looking for a better place) Something's on my mind Always in my head space But I know someday I'll make it out of here Even if it takes all night or a hundred years Need a place to hide, but I can't find one near Wanna feel alive, outside I can't fight my fear Isn't it lovely? All alone Heart made of glass, my mind of stone Tear me to pieces, skin to bone Hello, welcome home Woah, yeah Yeah, ah Woah, woah Hello, welcome home"
Drake - One Dance,325,26,1,(x14),47782311,3414508398,Drake,One Dance,"Baby, I like your style Grips on your waist, front way, back way You know that I don't play Streets not safe but I never run away Even when I'm away Oti, oti There's never much love when we go OT I pray to make it back in one piece I pray, I pray That's why I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers takin' a hold on me I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers takin' a hold on me Baby, I like your style Strength and guidance All that I'm wishing for my friends Nobody makes it from my ends I had to bust up the silence You know you gotta stick by me Soon as you see the text, reply me I don't wanna spend time fighting We've got no time And that's why I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me Got a pretty girl and she love me long time Wine it, wine it, very long time Oh, yeah, very long time Back up, back up, back up and wine it Back up, back up and wine it, girl Back up, back up, back up and wine it Oh, yeah, very long time Back, up, back up and wine it, girl Oh, tell me I need to know Where do you wanna go? 'Cause if you're down, I'll take it slow Make you lose control Where, where, where Where, where, where, where (oh, yeah, very long time) Where, where, where (Back up, back up, and wine am, girl) Where, where, where, where 'Cause if you're down (back up, back up, and-) 'Cause if you're down (back up, back up, and-) 'Cause if you're down (back up, back up, and-) I need a one dance (where, where, where) Got a Hennessy in my hand (where, where, where, where) One more time 'fore I go (where) Higher powers taking a hold on me (where, where, where, where) I need a one dance Got a Hennessy in my hand One more time 'fore I go Higher powers taking a hold on me"
The Kid LAROI - Stay,188,43,1,(x12),70502410,3402050072,The Kid LAROI,Stay,"I do the same thing I told you that I never would I told you I'd change, even when I knew I never could I know that I can't find nobody else as good as you I need you to stay, need you to stay, hey (oh) I get drunk, wake up, I'm wasted still I realize the time that I wasted here I feel like you can't feel the way I feel Oh, I'll be f- up if you can't be right here Oh, ooh-woah (oh, ooh-woah, ooh-woah) Oh, ooh-woah (oh, ooh-woah, ooh-woah) Oh, ooh-woah (Oh, ooh-woah, ooh-woah) Oh, I'll be f- up if you can't be right here I do the same thing I told you that I never would I told you I'd change, even when I knew I never could I know that I can't find nobody else as good as you I need you to stay, need you to stay, hey I do the same thing I told you that I never would I told you I'd change, even when I knew I never could I know that I can't find nobody else as good as you I need you to stay, need you to stay, hey When I'm away from you, I miss your touch (ooh) You're the reason I believe in love It's been difficult for me to trust (ooh) And I'm afraid that I'ma f- it up Ain't no way that I can leave you stranded 'Cause you ain't ever left me empty-handed And you know that I know that I can't live without you So, baby, stay Oh, ooh-woah (oh, ooh-woah, ooh-woah) Oh, ooh-woah (oh, ooh-woah, ooh-woah) Oh, ooh-woah (oh, ooh-woah, ooh-woah) I'll be f- up if you can't be right here I do the same thing I told you that I never would I told you I'd change, even when I knew I never could I know that I can't find nobody else as good as you I need you to stay, need you to stay, hey I do the same thing I told you that I never would I told you I'd change, even when I knew I never could I know that I can't find nobody else as good as you I need you to stay, need you to stay, hey Woah-oh I need you to stay, need you to stay, hey"
Arctic Monkeys - I Wanna Be Yours,211,,15,,21021481,3362241618,Arctic Monkeys,I Wanna Be Yours,"I wanna be your vacuum cleaner Breathin' in your dust I wanna be your Ford Cortina I will never rust If you like your coffee hot Let me be your coffee pot You call the shots, babe I just wanna be yours Secrets I have held in my heart Are harder to hide than I thought Maybe I just wanna be yours I wanna be yours, I wanna be yours Wanna be yours Wanna be yours Wanna be yours Let me be your 'leccy meter And I'll never run out Let me be the portable heater That you'll get cold without I wanna be your setting lotion (wanna be) Hold your hair in deep devotion (how deep?) At least as deep as the Pacific Ocean I wanna be yours Secrets I have held in my heart Are harder to hide than I thought Maybe I just wanna be yours I wanna be yours, I wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours Wanna be yours (Wanna be yours) I wanna be your vacuum cleaner (wanna be yours) Breathin' in your dust (wanna be yours) I wanna be your Ford Cortina (wanna be yours) I will never rust (wanna be yours) I just wanna be yours (wanna be yours) I just wanna be yours (wanna be yours) I just wanna be yours (wanna be yours)"
Imagine Dragons - Believer,425,,16,,16864827,3353483545,Imagine Dragons,Believer,"First things first, I'ma say all the words inside my head I'm fired up and tired of the way that things have been, oh, ooh The way that things have been, oh, ooh Second things second, don't you tell me what you think that I could be I'm the one at the sail, I'm the master of my sea, oh, ooh The master of my sea, oh, ooh I was broken from a young age Taken my sulking to the masses Writing my poems for the few That look at me, took to me, shook to me, feelin' me Singing from heartache from the pain Taking my message from the veins Speaking my lesson from the brain Seeing the beauty through the Pain, you made me a, you made me a believer, believer Pain, you break me down and build me up, believer, believer Pain, oh, let the bullets fly, oh, let them rain My life, my love, my drive, it came from Pain, you made me a, you made me a believer, believer Third things third, send a prayer to the ones up above All the hate that you've heard has turned your spirit to a dove, oh, ooh Your spirit up above, oh, ooh I was choking in the crowd Building my rain up in the cloud Falling like ashes to the ground Hoping my feelings, they would drown But they never did, ever lived, ebbin' and flowin' Inhibited, limited, 'til it broke open and rained down It rained down like Pain, you made me a, you made me a believer, believer Pain, you break me down and build me up, believer, believer Pain, oh, let the bullets fly, oh, let them rain My life, my love, my drive, it came from Pain, you made me a, you made me a believer, believer Last things last, by the grace of the fire and the flames You're the face of the future, the blood in my veins, oh, ooh The blood in my veins, oh, ooh But they never did, ever lived, ebbin' and flowin' Inhibited, limited, 'til it broke open and rained down It rained down like Pain, you made me a, you made me a believer, believer Pain, you break me down and build me up, believer, believer Pain, oh, let the bullets fly, oh, let them rain My life, my love, my drive, it came from Pain, you made me a, you made me a believer, believer"
Coldplay - Yellow,292,,19,,19818571,3146842043,Coldplay,Yellow,"Look at the stars Look how they shine for you And everything you do Yeah, they were all yellow I came along I wrote a song for you And all the things you do And it was called ""Yellow"" So then I took my turn Oh, what a thing to have done And it was all yellow (Ah) Your skin, oh, yeah, your skin and bones (Ooh) Turn into something beautiful (Ah) And you know, you know I love you so You know I love you so I swam across I jumped across for you Oh, what a thing to do 'Cause you were all yellow I drew a line I drew a line for you Oh, what a thing to do And it was all yellow (Ah) And your skin, oh, yeah, your skin and bones (Ooh) Turn into something beautiful (Ah) And you know, for you, I'd bleed myself dry For you, I'd bleed myself dry It's true Look how they shine for you Look how they shine for you Look how they shine for Look how they shine for you Look how they shine for you Look how they shine Look at the stars Look how they shine for you And all the things that you do"
Glass Animals - Heat Waves,205,37,1,(x10),31668100,3112973333,Glass Animals,Heat Waves,"Last night, all I think about is you Don't stop, baby, you can walk through Don't wanna, but I think about you You know that I'm never gonna lose Road shimmer, wiggling the vision Heat, heat waves, I'm swimming in a mirror Road shimmer, wiggling the vision Heat, heat waves, I'm swimmin' in a- Sometimes all I think about is you Late nights in the middle of June Heat waves been faking me out Can't make you happier now Sometimes all I think about is you Late nights in the middle of June Heat waves been faking me out Can't make you happier now Usually, I put something on TV So we never think about you and me But today, I see our reflections clearly in Hollywood Laying on the screen You just need a better life than this You need something I can never give Fake water all across the road It's gone now, the night has come, but Sometimes all I think about is you Late nights in the middle of June Heat waves been faking me out Can't make you happier now You can't fight it, you can't breathe You say something so loving, but Now I gotta let you go You'll be better off with someone new I don't wanna be alone You know it hurts me too You look so broken when you cry One more and then I say goodbye Sometimes all I think about is you Late nights in the middle of June Heat waves been faking me out Can't make you happier now Sometimes all I think about is you Late nights in the middle of June Heat waves been faking me out Can't make you happier now I just wonder what you're dreaming of When you sleep and smile so comfortable I just wish that I could give you that That look that's perfectly un-sad Sometimes all I think about is you Late nights in the middle of June Heat waves been faking me out Heat waves been faking me out Sometimes all I think about is you Late nights in the middle of June Heat waves been faking me out Can't make you happier now Sometimes all I think about is you Late nights in the middle of June Heat waves been faking me out Can't make you happier now Road shimmer wiggling the vision Heat, heat waves, I'm swimming in a mirror Road shimmer wiggling the vision Heat, heat waves, I'm swimming in a mirror"
Tom Odell - Another Love,265,,15,,20219891,3107580183,Tom Odell,Another Love,"I wanna take you somewhere so you know I care But it's so cold, and I don't know where I brought you daffodils on a pretty string But they won't flower like they did last spring And I wanna kiss you, make you feel alright I'm just so tired to share my nights I wanna cry and I wanna love But all my tears have been used up On another love, another love All my tears have been used up On another love, another love All my tears have been used up On another love, another love All my tears have been used up Oh-oh Oh Oh-oh, oh-oh Oh-oh-oh, oh-oh And if somebody hurts you, I wanna fight But my hand's been broken one too many times So I'll use my voice, I'll be so fucking rude Words, they always win, but I know I'll lose And I'd sing a song that'd be just ours But I sang 'em all to another heart And I wanna cry, I wanna learn to love But all my tears have been used up On another love, another love All my tears have been used up On another love, another love All my tears have been used up On another love, another love All my tears have been used up Ah-oh Oh-oh Oh (oh, need a love, now) Oh (my heart is thinking of) I wanna sing a song that'll be just ours But I sang 'em all to another heart And I wanna cry, I wanna fall in love But all my tears have been used up On another love, another love All my tears have been used up On another love, another love All my tears have been used up On another love, another love All my tears have been used up Oh-oh Oh-oh"
Sabrina Carpenter - Espresso,119,32,1,(x5),76427890,3070701892,Sabrina Carpenter,Espresso,"Now he's thinkin' 'bout me every night, oh Is it that sweet? I guess so Say you can't sleep, baby, I know That's that me, espresso Move it up, down, left, right, oh Switch it up like Nintendo Say you can't sleep, baby, I know That's that me, espresso I can't relate to desperation My 'give a fucks' are on vacation And I got this one boy And he won't stop calling When they act this way I know I got 'em Too bad your ex don't do it for ya Walked in and dream came trued it for ya Soft skin and I perfumed it for ya I know I Mountain Dew it for ya That morning coffee, brewed it for ya One touch and I brand newed it for ya Now he's thinkin' 'bout me every night, oh Is it that sweet? I guess so Say you can't sleep, baby, I know That's that me, espresso Move it up, down, left, right, oh Switch it up like Nintendo Say you can't sleep, baby, I know That's that me, espresso (Holy shit) Is it that sweet? I guess so I'm working late 'cause I'm a singer Oh, he looks so cute wrapped around my finger My twisted humor, make him laugh so often My honey bee, come and get this pollen Too bad your ex don't do it for ya Walked in and dream came trued it for ya Soft skin and I perfumed it for ya I know I Mountain Dew it for ya That morning coffee, brewed it for ya One touch and I brand newed it for ya Now he's thinkin' 'bout me every night, oh Is it that sweet? I guess so Say you can't sleep, baby, I know That's that me, espresso Move it up, down, left, right, oh Switch it up like Nintendo Say you can't sleep, baby, I know That's that me, espresso He's thinkin' 'bout me every night, oh Is it that sweet? I guess so Say you can't sleep, baby, I know That's that me, espresso Move it up, down, left, right, oh Switch it up like Nintendo Say you can't sleep, baby, I know That's that me, espresso Is it that sweet? I guess so That's that me, espresso"
Benson Boone - Beautiful Things,131,30,1,(x6),55391293,3037206067,Benson Boone,Beautiful Things,"For a while there it was rough But lately, I've been doin' better Than the last four cold Decembers I recall And I see my family every month I found a girl my parents love She'll come and stay the night And I think I might have it all And I thank God every day For the girl he sent my way But I know the things he gives me He can take away And I hold you every night That's a feeling I wanna get used to But there's no man as terrified As the man who stands to lose you Oh, I hope I don't lose you Mm Please stay I want you, I need you, oh God Don't take These beautiful things that I've got Please stay I want you, I need you, oh God Don't take These beautiful things that I've got Oh-oh-oh-oh, oh, oh Please don't take I found my mind, I'm feelin' sane It's been a while, but I'm finding my faith If everything's good and it's great Why do I sit and wait 'til it's gone? Oh, I'll tell ya, I know I've got enough I've got peace and I've got love But I'm up at night thinkin' I just might lose it all Please stay I want you, I need you, oh God Don't take These beautiful things that I've got Oh-oh-oh-oh, oh, oh Please stay I want you, I need you, oh God I need These beautiful things that I've got"
Vance Joy - Riptide,415,,16,,16836644,2983453847,Vance Joy,Riptide,"I was scared of dentists and the dark I was scared of pretty girls and starting conversations Oh, all my friends are turning green You're the magician's assistant in their dream Ah-ooh-ooh-ooh, ah-ahh-ah-ah And they come unstuck Lady, running down to the riptide Taken away to the dark side I wanna be your left-hand man I love you when you're singing that song And I got a lump in my throat 'Cause you're gonna sing the words wrong There's this movie that I think you'll like This guy decides to quit his job and heads to New York City This cowboy's running from himself And she's been living on the highest shelf Ah-ooh-ooh-ooh, ah-ahh-oh And they come unstuck Lady, running down to the riptide Taken away to the dark side I wanna be your left-hand man I love you when you're singing that song And I got a lump in my throat 'Cause you're gonna sing the words wrong I just wanna, I just wanna know If you're gonna, if you're gonna stay I just gotta, I just gotta know I can't have it, I can't have it any other way I swear she's destined for the screen Closest thing to Michelle Pfeiffer that you've ever seen, oh Lady, running down to the riptide Taken away to the dark side I wanna be your left-hand man I love you when you're singing that song And I got a lump in my throat 'Cause you're gonna sing the words wrong Oh lady, running down to the riptide Taken away to the dark side I wanna be your left-hand man I love you when you're singing that song And I got a lump in my throat 'Cause you're gonna sing the words wrong Oh lady, running down to the riptide Taken away to the dark side I wanna be your left-hand man I love you when you're singing that song And I got a lump in my throat 'Cause you're gonna sing the words wrong Yeah, I got a lump in my throat 'Cause you're gonna sing the words wrong"
